22.0, 35.0
22.5, 34.0
23.0, 33.0
23.5, 32.0
24.0, 32.0
24.5, 31.5
25.0, 31.0
25.5, 30.5
26.0, 30.0
26.5, 30.0
27.0, 29.5
27.5, 29.5
28.0, 29.0
28.5, 29.0
29.0, 29.0
29.5, 29.0
30.0, 29.0
30.5, 29.0
31.0, 29.0
31.5, 29.5
32.0, 30.0
32.5, 30.5
33.0, 31.0
33.5, 32.0
33.5, 33.0
33.5, 34.0
33.5, 35.0
33.0, 36.0
32.5, 36.5
32.0, 37.0
31.5, 37.5
31.0, 38.0
30.5, 38.5
30.0, 39.0
29.5, 39.5
29.0, 40.0
28.5, 40.5
28.0, 41.0
27.5, 41.5
27.0, 42.0
26.5, 42.5
26.0, 43.0
25.5, 43.5
25.0, 44.0
24.5, 44.5
24.0, 45.0
23.5, 45.5
23.0, 46.0
22.5, 46.5
22.0, 47.0
22.0, 48.0
22.5, 49.0
23.0, 50.0
23.5, 51.0
24.0, 51.5
24.5, 52.0
25.0, 52.5
25.5, 53.0
26.0, 53.5
26.5, 54.0
27.0, 54.5
27.5, 55.0
28.0, 55.5
28.5, 56.0
29.0, 56.5
29.5, 57.0
30.0, 57.5
30.5, 58.0
31.0, 58.5
31.5, 59.0
32.0, 59.5
32.5, 60.0
33.0, 61.0
32.5, 62.0
32.0, 63.0
31.5, 64.0
31.0, 65.0
30.5, 66.0
30.0, 67.0
29.5, 68.0
29.0, 69.0
28.5, 70.0
27.5, 71.0
27.0, 72.0
26.5, 73.0
26.0, 74.0
25.5, 75.0
25.0, 76.0
24.5, 77.0
24.0, 78.0
23.5, 79.0
23.0, 80.0
22.5, 81.0
22.0, 82.0
22.0, 83.0
22.5, 84.0
23.0, 85.0
23.5, 86.0
24.0, 87.0
24.5, 88.0
25.0, 89.0
25.5, 90.0
26.0, 91.0
26.5, 92.0
27.0, 93.0
27.5, 94.0
28.0, 95.0
28.5, 96.0
29.0, 97.0
29.5, 98.0
30.0, 99.0
31.0, 99.0
32.0, 99.0
33.0, 99.0
34.0, 99.0
35.0, 98.5
36.0, 98.0
36.5, 97.5
37.0, 97.0
37.5, 96.5
38.0, 96.0
38.5, 95.5
39.0, 95.0
39.5, 94.5
40.0, 94.0
40.5, 93.5
41.0, 93.0
41.5, 92.5
42.0, 92.0
42.5, 91.5
43.0, 91.0
43.5, 90.5
44.0, 90.0
44.5, 89.5
45.0, 89.0
45.5, 88.5
46.0, 88.0
46.5, 87.5
47.0, 87.0
47.5, 86.5
48.0, 86.0
48.5, 85.5
49.0, 85.0
49.5, 84.5
50.0, 84.0
50.5, 83.5
51.0, 83.0
51.5, 82.5
52.0, 82.0
52.5, 81.5
53.0, 81.0
53.5, 80.5
54.0, 80.0
54.5, 79.5
55.0, 79.0
55.5, 78.5
56.0, 78.0
56.5, 77.5
57.0, 77.0
57.5, 76.5
58.0, 76.0
58.5, 75.5
59.0, 75.0
59.5, 74.5
60.0, 74.0
60.5, 73.5

61.0, 73.0
61.5, 72.5
62.0, 72.0
62.5, 71.5
63.0, 71.0
63.5, 70.5
64.0, 70.0
64.5, 69.5
65.0, 69.0
65.5, 68.5
66.0, 68.0
66.5, 67.5
67.0, 67.0
67.5, 66.5
68.0, 66.0
68.5, 65.5
69.0, 65.0
69.5, 64.5
70.0, 64.0
70.5, 63.5
71.0, 63.0
71.5, 62.5
72.0, 62.0
72.5, 61.5
73.0, 61.0
73.5, 60.5
74.0, 60.0
74.5, 59.5
75.0, 59.0
75.5, 58.5
76.0, 58.0
76.5, 57.5
77.0, 57.0
77.5, 56.5
78.0, 56.0
78.5, 55.5
79.0, 55.0
79.5, 54.5
80.0, 54.0
80.5, 53.5
81.0, 53.0
81.5, 52.5
82.0, 52.0
82.5, 51.5
83.0, 51.0
83.5, 50.5
84.0, 50.0
84.5, 49.5
85.0, 49.0
85.5, 48.5
86.0, 48.0
86.5, 47.5
87.0, 47.0
87.5, 46.5
88.0, 46.0
88.5, 45.5
89.0, 45.0
89.5, 44.5
90.0, 44.0
90.5, 43.5
